Year      Month     Day       SimDay    Season    GDD            TotGDD         Zr             CC             CCPot          Bio            BioPot         HI             HIadj          Yield          
2010      5         1         1         1         4.76           4.76           0.30           0.00           0.00           0.00           0.00           0.00           0.00           0.00           
2010      5         2         2         1         5.30           10.06          0.30           0.00           0.00           0.00           0.00           0.00           0.00           0.00           
2010      5         3         3         1         6.62           16.69          0.30           0.00           0.00           0.00           0.00           0.00           0.00           0.00           
2010      5         4         4         1         9.29           25.97          0.30           0.00           0.00           0.00           0.00           0.00           0.00           0.00           
2010      5         5         5         1         4.46           30.43          0.30           0.00           0.00           0.00           0.00           0.00           0.00           0.00           
2010      5         6         6         1         4.95           35.37          0.30           0.00           0.00           0.00           0.00           0.00           0.00           0.00           
2010      5         7         7         1         2.22           37.60          0.30           0.00           0.00           0.00           0.00           0.00           0.00           0.00           
2010      5         8         8         1         3.57           41.17          0.30           0.00           0.00           0.00           0.00           0.00           0.00           0.00           
2010      5         9         9         1         7.12           48.29          0.30           0.00           0.00           0.00           0.00           0.00           0.00           0.00           
2010      5         10        10        1         2.49           50.78          0.30           0.00           0.00           0.00           0.00           0.00           0.00           0.00           
2010      5         11        11        1         1.89           52.67          0.30           0.00           0.00           0.00           0.00           0.00           0.00           0.00           
2010      5         12        12        1         0.09           52.76          0.30           0.00           0.00           0.00           0.00           0.00           0.00           0.00           
2010      5         13        13        1         2.84           55.61          0.30           0.00           0.00           0.00           0.00           0.00           0.00           0.00           
2010      5         14        14        1         5.04           60.65          0.30           0.00           0.00           0.00           0.00           0.00           0.00           0.00           
2010      5         15        15        1         2.29           62.94          0.30           0.00           0.00           0.00           0.00           0.00           0.00           0.00           
2010      5         16        16        1         4.53           67.47          0.31           0.00           0.00           0.00           0.00           0.00           0.00           0.00           
2010      5         17        17        1         6.49           73.96          0.33           0.00           0.00           0.00           0.00           0.00           0.00           0.00           
2010      5         18        18        1         6.06           80.03          0.35           0.00           0.01           0.16           0.17           0.00           0.00           0.00           
2010      5         19        19        1         4.14           84.17          0.36           0.01           0.01           0.23           0.24           0.00           0.00           0.00           
2010      5         20        20        1         4.03           88.20          0.37           0.01           0.01           0.30           0.31           0.00           0.00           0.00           
2010      5         21        21        1         7.29           95.48          0.39           0.01           0.01           0.56           0.57           0.00           0.00           0.00           
2010      5         22        22        1         12.77          108.25         0.42           0.01           0.01           1.01           1.02           0.00           0.00           0.00           
2010      5         23        23        1         8.64           116.89         0.44           0.01           0.01           1.42           1.44           0.00           0.00           0.00           
2010      5         24        24        1         10.04          126.93         0.46           0.01           0.01           1.92           1.96           0.00           0.00           0.00           
2010      5         25        25        1         6.96           133.89         0.48           0.01           0.01           2.29           2.35           0.00           0.00           0.00           
2010      5         26        26        1         9.30           143.19         0.50           0.01           0.01           2.87           2.97           0.00           0.00           0.00           
2010      5         27        27        1         14.06          157.25         0.53           0.01           0.01           3.62           3.79           0.00           0.00           0.00           
2010      5         28        28        1         15.13          172.38         0.56           0.01           0.02           4.49           4.77           0.00           0.00           0.00           
2010      5         29        29        1         14.14          186.52         0.58           0.02           0.02           5.48           5.95           0.00           0.00           0.00           
2010      5         30        30        1         8.25           194.77         0.60           0.02           0.02           6.36           7.00           0.00           0.00           0.00           
2010      5         31        31        1         10.13          204.90         0.62           0.02           0.02           7.48           8.38           0.00           0.00           0.00           
2010      6         1         32        1         14.11          219.00         0.65           0.02           0.03           8.89           10.14          0.00           0.00           0.00           
2010      6         2         33        1         9.73           228.73         0.67           0.02           0.03           10.33          11.95          0.00           0.00           0.00           
2010      6         3         34        1         11.48          240.21         0.69           0.03           0.04           12.07          14.16          0.00           0.00           0.00           
2010      6         4         35        1         12.23          252.44         0.71           0.03           0.04           14.11          16.81          0.00           0.00           0.00           
2010      6         5         36        1         14.30          266.74         0.73           0.04           0.05           16.48          19.96          0.00           0.00           0.00           
