Year      Month     Day       SimDay    Season    0.05m          0.15m          0.25m          0.35m          0.45m          0.55m          0.675m         0.825m         0.975m         1.125m         1.275m         1.45m          
2010      5         1         1         1         0.26           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2010      5         2         2         1         0.23           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2010      5         3         3         1         0.21           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2010      5         4         4         1         0.18           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2010      5         5         5         1         0.17           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2010      5         6         6         1         0.15           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2010      5         7         7         1         0.13           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2010      5         8         8         1         0.12           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2010      5         9         9         1         0.11           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2010      5         10        10        1         0.11           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2010      5         11        11        1         0.11           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2010      5         12        12        1         0.14           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2010      5         13        13        1         0.11           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2010      5         14        14        1         0.10           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2010      5         15        15        1         0.13           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2010      5         16        16        1         0.11           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2010      5         17        17        1         0.09           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
