Year      Month     Day       SimDay    Season    wRZ            zGW            wSurf          Irr            Infl           RO             DP             CR             GWin           Es             EsX            Tr             TrX            
2010      5         1         1         1         85.67          -999.00        0.00           0.00           0.00           0.00           0.00           0.00           0.00           4.33           5.47           0.00           0.00           
2010      5         2         2         1         83.06          -999.00        0.00           0.00           0.00           0.00           0.00           0.00           0.00           2.62           4.83           0.00           0.00           
2010      5         3         3         1         80.67          -999.00        0.00           0.00           0.00           0.00           0.00           0.00           0.00           2.39           5.82           0.00           0.00           
2010      5         4         4         1         78.08          -999.00        0.00           0.00           0.00           0.00           0.00           0.00           0.00           2.58           8.33           0.00           0.00           
2010      5         5         5         1         76.78          -999.00        0.00           0.00           0.00           0.00           0.00           0.00           0.00           1.30           5.23           0.00           0.00           
2010      5         6         6         1         75.47          -999.00        0.00           0.00           2.29           0.00           0.00           0.00           0.00           3.60           4.62           0.00           0.00           
2010      5         7         7         1         73.34          -999.00        0.00           0.00           0.00           0.00           0.00           0.00           0.00           2.13           4.90           0.00           0.00           
2010      5         8         8         1         71.87          -999.00        0.00           0.00           0.00           0.00           0.00           0.00           0.00           1.47           4.47           0.00           0.00           
2010      5         9         9         1         70.96          -999.00        0.00           0.00           3.30           0.00           0.00           0.00           0.00           4.21           6.62           0.00           0.00           
2010      5         10        10        1         71.43          -999.00        0.00           0.00           1.27           0.00           0.00           0.00           0.00           0.80           0.80           0.00           0.00           
2010      5         11        11        1         71.13          -999.00        0.00           0.00           0.76           0.00           0.00           0.00           0.00           1.05           1.85           0.00           0.00           
2010      5         12        12        1         73.53          -999.00        0.00           0.00           3.56           0.00           0.00           0.00           0.00           1.17           1.17           0.00           0.00           
2010      5         13        13        1         70.78          -999.00        0.00           0.00           0.00           0.00           0.00           0.00           0.00           2.75           3.80           0.00           0.00           
2010      5         14        14        1         69.89          -999.00        0.00           0.00           0.25           0.00           0.00           0.00           0.00           1.14           4.07           0.00           0.00           
2010      5         15        15        1         73.48          -999.00        0.00           0.00           4.83           0.00           0.00           0.00           0.00           1.24           1.24           0.00           0.00           
2010      5         16        16        1         74.22          -999.00        0.00           0.00           0.00           0.00           0.00           0.00           0.00           2.25           2.25           0.00           0.00           
2010      5         17        17        1         78.23          -999.00        0.00           0.00           0.00           0.00           0.00           0.00           0.00           1.99           4.55           0.00           0.00           
